Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Great experience among team loaded with talented people.""","Aug 18, 2011",5.0,Former Employee,Technical Recruiter,,Recommends,,Approves of CEO,"If you have a chance to work at Google in Mountain View, do it. The campus there is amazing. Access to services for personal use as well as tools to develop professionally, abound. Also, the food.","Can feel a little overwhelming at times. If you're someone that doesn't enjoy being a part of a large group or if you prefer working in very small, intimate teams, then Google may not be your best choice.",
"""Good""","Aug 23, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Growth, Satisfaction, Work life balance","Hectic, Schedule, lucrative salary, but slow",
"""Great""","Aug 8, 2011",5.0,Current Employee,Business Analyst,,Recommends,,Approves of CEO,Its a fun environment there.,Too little order at Google.,
"""great""","Aug 22, 2011",4.0,Current Employee,Anonymous Employee,,,,constant re-org,work like balance,rudderless career management,
"""Once the Ultimate Place to Work evolving into the Ultimate Stepping Stone?""","Jul 17, 2011",3.0,Current Employee,Software Engineer,,Recommends,,Show More,"Company still growing (and that's a bit of an understatement), both in its core businesses as well as in other businesses in which it is trying to become a major player.","Long hours: It depends on the individual, but it's easy to feel that you need to produce more and ending up selling yourself short. The work involves a lot of time wasting ""archaeology"" - sifting through wikis, code labs and other people's code figuring out what is the latest recommended way to do something that sounds boiler-plate and obvious, so it's easy to feel unproductive at times. Also, the availability of … ",
"""Excellent""","Jul 30, 2011",5.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,I really do like Everything,I believe there are None,
"""Best""","Jul 18, 2011",5.0,Current Employee,IT Director,,Recommends,,Approves of CEO,Best company to work for!,None found in my experience,
"""One of the best company to work for""","Aug 3, 2011",4.0,Former Employee,Anonymous Employee,"Dublin, Co. Dublin (Ireland)",,,Approves of CEO,"Defo the people that are there : They are all bright minded, clever and extreme various background which makes a very brain challenging environment.",Well Google is attracting all the A level people so be ready to cpmpete harshly in order to get a promotion and a decent job.,
"""Its been amazing workina at Google""","Jul 26, 2011",4.0,Current Employee,Software Engineer,Mumbai (India),,,Approves of CEO,"The Google Community has been very supportive, they encourage ideas & are very supportive at every stage of the process.",The process of recruitment goes through various stages and can be very tedious and frustrating at times. They need to make it more clear.,
"""still good place to work at.""","Jul 16, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,compensation is just ok for strong swes.,"it's getting old, but with larry page becoming ceo ago, things will change, hopefully. The company does have many new directions now.",too many ppl now.,
"""Good first gob""","Jul 9, 2011",3.0,Former Employee,Anonymous Employee,,,,No opinion of CEO,Great company name and benefits,Large corporation so sometimes feel like just a number,
"""It is a good place to learn and work.""","Jun 30, 2011",4.0,Current Employee,Anonymous Employee,,Recommends,,No opinion of CEO,The people are very nice. The food is excellent. I like the environment very much. There are a lot of tech seminars.,The mountian view didn't give enough support to Google Beijing. The policy and culture of Google limit its growth in China.,
"""Like nothing else in the world.""","Jun 22, 2011",4.0,Current Employee,Site Reliability Engineer,,Recommends,,Extremely talented and passionate colleagues.,The line about working with systems at internet scale is absolutely true. You will work with more compute and network resources than anywhere else.,"Working on outside fun projects outside Google can be difficult due to the fact that the company's research interests are all over the map, causing things you do in your own time to potentially be subject to the company's copyright even if you never relied upon resources from work to accomplish them.",
"""Smoke and mirrors""","Jun 22, 2011",2.0,Former Employee,Anonymous Employee,,Doesn't Recommend,,"HR all about covering Google, not supporting employee",benefits are top rate,evaluation process,
"""Working at Google was the highlight of my life.""","Jun 2, 2011",5.0,Former Employee,Anonymous Employee,,Recommends,,No opinion of CEO,"The absolute best reason to work at Google was the community; you're surrounded by intelligent people who are very competent and eager to accomplish team goals as well as their own. You would be hard pressed to find another company with a similar environment, culture, perks, and benefits.","There are two moderately negative aspects of working at Google, one being that the work tends to become your life! You will often find yourself working until long after you were to have been off the clock, however this is normally due to the love of the job. Another nitpick is that when they're done with a position or location, options become very limited at an unfavorable rate if you aren't in a California site.",
"""Happy and satisfied in the first 3 years but recognition and opportunities are now limited""","Jun 17, 2011",3.0,Current Employee,Anonymous Employee,,,,No opinion of CEO,"Pretty satisfied with some of the indirect benefits (company/team outings, onsite perks). Most peers and coworkers made work more enjoyable. Also great to work with some of the smartest people in technology.","Too many overachievers and ""type A"" personalities all fighting for the next big thing. The company has grown so much that competition is greater thus limiting advancement. Lots of very junior and inexperienced managers who were great individual contributors that got promoted to be managers. Also not much support from upper management to grow.",
"""Nice""","Jun 18, 2011",4.0,Current Employee,Software Engineer III,Bengaluru (India),Recommends,,- Exposure to real users,- Work is challenging and non trivial,"Salary is lesser than what i want it to be. Even with recent salary hikes, i feel that working in remote offices is not beneficial.",
"""Great Place to Work""","May 25, 2011",5.0,Former Employee,Software Engineer Intern,Sydney (Australia),Recommends,,Slow production speed.,A lot of resources and great people to learn from.,"Becoming a ""Big Corporation"".",
"""Fun""","Jun 7, 2011",4.0,Former Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Great people, great benefits, great food, great fun, good offsites, nice work environment, good intranet and communication, family feel, respectful, company with a vision.",entry level jobs lack responsibility but all in all a good place to work. Pay could be increased but great benefits make up.,
"""good""","Jun 4, 2011",4.0,Former Employee,Intern,,Recommends,,Approves of CEO,"creative environment, good people, challenge",location placement was not to my preference,
"""Great Place to work!""","May 8, 2011",5.0,Current Employee,Anonymous Employee,"Mexico, Distrito Federal (Mexico)",Recommends,,- Too much stress full,- Perks,- Middle Managament,
"""excellent,""","May 12, 2011",5.0,Former Employee,Head Wireless Business,"Gurgaon, Haryana (India)",Recommends,,Approves of CEO,"Great work environment, great projects to work for, total freedom in work to pursue own goals and time flexibility. A place to learn how to run a company at its best both for employees and the employer","Getting increasingly bureaucratic, regional teams are not empowered as much as the headquarters in terms of decision making, therefore roles at regional levels have limited in scope.",
